Vivado Simulator 2020.2
Time resolution is 1 ps
WARNING: File younghee.mem referenced on C:/working/FPAG_Harman/250718_OV7670_HDMI_V2/250718_OV7670_HDMI_V2.srcs/sources_1/VGA/QVGA_MemController.sv at line 55 cannot be opened for reading. Please ensure that this file is available in the current working directory.
time	reset	busy	DE	Hsync	Vsync	pixel_clk
                   0	1	x	1	1	1	0
              100000	0	x	1	1	1	0
Warning: NUMERIC_STD."=": metavalue detected, returning FALSE
Time: 140 ns  Iteration: 3  Process: /tb_TOP_OV7670_HDMI/uut/u_rgb2dvi/\DataEncoders(0)\/DataEncoder/line__154  File: C:/working/FPAG_Harman/250718_OV7670_HDMI_V2/250718_OV7670_HDMI_V2.srcs/sources_1/HDMI/TMDS_Encoder.vhd
Warning: NUMERIC_STD."=": metavalue detected, returning FALSE
Time: 140 ns  Iteration: 3  Process: /tb_TOP_OV7670_HDMI/uut/u_rgb2dvi/\DataEncoders(1)\/DataEncoder/line__154  File: C:/working/FPAG_Harman/250718_OV7670_HDMI_V2/250718_OV7670_HDMI_V2.srcs/sources_1/HDMI/TMDS_Encoder.vhd
Warning: NUMERIC_STD."=": metavalue detected, returning FALSE
Time: 140 ns  Iteration: 3  Process: /tb_TOP_OV7670_HDMI/uut/u_rgb2dvi/\DataEncoders(2)\/DataEncoder/line__154  File: C:/working/FPAG_Harman/250718_OV7670_HDMI_V2/250718_OV7670_HDMI_V2.srcs/sources_1/HDMI/TMDS_Encoder.vhd
             5200000	0	1	1	1	1	0
             5220000	0	1	1	1	1	1
             5240000	0	0	1	1	1	0
             5260000	0	0	1	1	1	1
             5280000	0	0	1	1	1	0
             5300000	0	0	1	1	1	1
             5320000	0	0	1	1	1	0
             5340000	0	0	1	1	1	1
             5360000	0	0	1	1	1	0
             5380000	0	0	1	1	1	1
             5400000	0	0	1	1	1	0
             5420000	0	0	1	1	1	1
             5440000	0	0	1	1	1	0
             5460000	0	0	1	1	1	1
             5480000	0	0	1	1	1	0
             5500000	0	0	1	1	1	1
             5520000	0	0	1	1	1	0
             5540000	0	0	1	1	1	1
             5560000	0	0	1	1	1	0
             5580000	0	0	1	1	1	1
             5600000	0	0	1	1	1	0
             5620000	0	0	1	1	1	1
             5640000	0	0	1	1	1	0
             5660000	0	0	1	1	1	1
             5680000	0	0	1	1	1	0
             5700000	0	0	1	1	1	1
             5720000	0	0	1	1	1	0
             5740000	0	0	1	1	1	1
             5760000	0	0	1	1	1	0
             5780000	0	0	1	1	1	1
             5800000	0	0	1	1	1	0
             5820000	0	0	1	1	1	1
             5840000	0	0	1	1	1	0
             5860000	0	0	1	1	1	1
             5880000	0	0	1	1	1	0
             5900000	0	0	1	1	1	1
             5920000	0	0	1	1	1	0
             5940000	0	0	1	1	1	1
             5960000	0	0	1	1	1	0
             5980000	0	0	1	1	1	1
             6000000	0	0	1	1	1	0
             6020000	0	0	1	1	1	1
             6040000	0	0	1	1	1	0
             6060000	0	0	1	1	1	1
             6080000	0	0	1	1	1	0
             6100000	0	0	1	1	1	1
             6120000	0	0	1	1	1	0
             6140000	0	0	1	1	1	1
             6160000	0	0	1	1	1	0
             6180000	0	0	1	1	1	1
             6200000	0	0	1	1	1	0
             6220000	0	0	1	1	1	1
             6240000	0	0	1	1	1	0
             6260000	0	0	1	1	1	1
             6280000	0	0	1	1	1	0
             6300000	0	0	1	1	1	1
             6320000	0	0	1	1	1	0
             6340000	0	0	1	1	1	1
             6360000	0	0	1	1	1	0
             6380000	0	0	1	1	1	1
